#{"t_start": 1679339175.1787457, "env_id": null}
r,l,t
-40.92682,54,1.293555
-55.258774,66,1.588299
20.99417,102,2.523518
67.87436,126,3.1586
106.59214,162,4.072713
110.377846,174,4.373691
98.78565,179,4.498779
80.2345,181,4.553529
94.47378,184,4.638275
104.16941,142,5.022213
177.69243,225,6.023134
352.99625,250,6.869915
322.421,250,6.869915
287.16177,250,6.871931
386.30807,250,6.871931
395.31204,250,6.871931
373.2706,250,6.871931
46.541164,108,8.062561
314.37744,250,8.839966
122.9387,166,9.148586
339.36765,250,9.774918
64.44467,115,10.14967
320.4481,250,10.44478
369.70255,250,11.731653
317.8899,250,11.862705
56.505684,118,12.003764
353.15192,250,12.003764
147.80672,185,12.035329
379.37292,250,12.328557
200.33588,210,12.678946
388.05237,250,13.102328
76.35878,146,13.688312
397.87616,250,13.746846
331.57397,250,13.746846
369.42197,250,13.746846
407.37613,250,14.734145
149.12453,191,15.167518
345.81137,250,15.722515
410.51025,250,16.972784
101.200096,163,17.268375
431.20312,250,18.298647
415.38602,250,18.423905
396.03085,250,18.558458
389.72867,250,18.558458
412.83655,250,18.588595
395.84488,250,18.869981
176.90521,203,19.003046
386.46442,250,19.224191
102.25532,156,19.833479
376.2273,250,20.241409
404.9236,250,20.241409
377.84238,250,20.241409
365.13083,250,21.262783
357.00815,250,21.708364
468.15204,250,23.49091
381.49707,250,23.793539
443.62436,250,24.691387
345.86,250,24.840427
406.04416,250,24.991673
353.21912,250,24.991673
421.558,250,25.023925
344.49643,250,25.338266
356.10992,250,25.493289
413.25015,250,25.743443
222.41988,239,26.118515
257.1598,250,26.823457
451.71207,250,26.823457
411.9839,250,26.823457
421.48935,250,27.973391
424.38696,250,28.404115
169.56175,185,29.963537
380.6694,250,30.278235
422.2021,250,30.603255
176.74165,197,31.133293
189.36813,211,31.273812
463.13165,250,31.613377
391.04004,250,31.871825
446.23138,250,31.871825
410.22565,250,31.90861
216.38048,219,32.098375
429.83344,250,32.228718
439.51343,250,33.663318
452.9338,250,33.663318
382.9162,250,33.663318
461.77612,250,34.698463
463.9745,250,35.17349
145.20781,169,36.63346
454.95398,250,36.713524
444.6272,250,37.033337
360.75928,250,37.368368
466.92688,250,37.873403
453.2631,250,38.009459
435.9021,250,38.390933
478.87088,250,38.688649
379.7026,250,38.688649
459.83563,250,38.72857
374.7247,250,39.033382
254.35907,241,40.248286
461.35855,250,40.499252
466.62003,250,40.499252
389.36035,250,41.488458
482.9072,250,41.93319
430.1123,250,43.393378
470.816,250,43.472626
471.71054,250,43.783422
448.49402,250,44.093266
449.73965,250,44.610096
446.46326,250,44.738241
480.81833,250,45.093029
383.76724,250,45.428313
453.97092,250,45.428313
481.84824,250,45.458419
391.15952,250,45.798535
473.93643,250,47.028406
461.983,250,47.313375
462.33505,250,47.313375
471.08026,250,48.448186
483.19565,250,48.910428
491.28076,250,50.426796
468.6442,250,50.510576
504.12476,250,50.908189
476.2074,250,51.241221
440.4731,250,51.740288
474.58438,250,51.886252
464.1799,250,52.198498
464.15198,250,52.472727
485.26172,250,52.472727
463.12506,250,52.505395
494.01993,250,52.798269
471.96933,250,54.053545
460.73578,250,54.288327
446.93216,250,54.288327
159.74927,162,55.334228
478.36295,250,55.368476
439.20114,250,55.888865
481.64603,250,57.468391
496.7709,250,57.55825
480.99713,250,58.242895
495.4202,250,58.753653
427.8553,250,58.91327
503.1151,250,59.248479
485.52222,250,59.532051
424.36844,250,59.532051
444.50912,250,59.572324
436.56506,250,59.883193
500.91647,250,61.118333
481.9209,250,61.340675
489.6891,250,61.340675
504.80945,250,62.443468
463.26605,250,62.468546
420.32913,250,62.888218
489.4333,250,64.328597
512.84863,250,64.398406
430.41693,250,65.043377
415.05948,250,65.623554
531.2085,250,65.781505
506.8506,250,66.168215
530.7297,250,66.503265
506.2803,250,66.503265
310.56186,239,66.548577
484.39124,250,66.548577
478.75702,250,68.356939
540.0187,250,68.651668
476.12946,250,68.651668
536.0065,250,69.721251
541.69366,250,69.7596
480.78043,250,70.215011
489.8114,250,71.633658
510.01953,250,71.720238
517.0031,250,72.364456
475.97958,250,72.868227
499.15134,250,73.017606
517.06744,250,73.321487
499.3451,250,73.578235
539.69696,250,73.578235
554.0185,250,73.608619
501.1568,250,73.608619
509.95123,250,75.024018
523.8415,250,75.256306
472.33374,250,75.256306
548.9251,250,76.225003
528.2731,250,76.257708
455.04877,250,76.660849
457.8433,250,78.073318
539.8142,250,78.178406
518.10504,250,78.878197
547.5113,250,79.35857
502.99274,250,79.488554
442.4285,250,79.798516
510.36975,250,80.078323
530.60284,250,80.078323
443.65323,250,80.111063
437.5317,250,80.111063
525.17035,250,81.658392
452.16116,250,81.898639
547.93604,250,81.898639
536.22064,250,82.848318
531.7749,250,82.883538
450.9174,250,83.320976
530.8009,250,84.800216
556.55975,250,84.890853
528.05005,250,85.506481
543.25543,250,86.000364
437.50858,250,86.120901
515.3658,250,86.443204
486.01337,250,86.715453
520.7942,250,86.715453
517.1526,250,86.7386
457.9072,250,86.7386
520.1517,250,88.168603
547.61804,250,88.400325
510.97214,250,88.400325
577.18036,250,89.443347
443.70218,250,89.478174
539.3726,250,89.914226
556.92255,250,91.315865
558.63574,250,91.383533
540.39056,250,91.983082
520.4223,250,92.488542
463.1057,250,92.613417
516.8738,250,92.912312
525.11945,250,93.168261
461.77484,250,93.168261
564.1481,250,93.198427
446.26956,250,93.198427
543.913,250,94.60462
560.3376,250,94.838467
460.62817,250,94.838467
498.92926,250,95.783614
543.2365,250,95.818321
516.39655,250,96.280957
530.7621,250,97.651178
522.416,250,97.731768
559.1803,250,98.438663
549.73553,250,98.931618
515.5177,250,99.062644
553.97473,250,99.368225
574.6568,250,99.613243
531.6096,250,99.613243
448.14426,250,99.648471
556.75714,250,99.648471
516.332,250,101.090711
545.37634,250,101.323293
482.04755,250,101.323293
576.2816,250,102.298633
490.1107,250,102.332025
435.00482,250,102.758331
550.35315,250,104.138446
546.9745,250,104.228677
519.2461,250,104.833596
461.18802,250,105.318605
554.2854,250,105.43861
560.1063,250,105.720523
516.5444,250,105.982494
458.64743,250,105.982494
471.11166,250,106.012728
545.531,250,106.012728
509.58444,250,107.43844
514.1805,250,107.653647
456.93152,250,107.653647
550.7411,250,108.608484
565.1613,250,108.633576
499.22086,250,109.078186
523.7661,250,110.478291
536.1905,250,110.568204
535.8114,250,111.238474
538.666,250,111.762321
554.7062,250,111.893434
560.90674,250,112.185482
557.5589,250,112.435029
533.9038,250,112.435029
575.72473,250,112.46322
442.39453,250,112.46322
467.7711,250,113.858661
561.37244,250,114.090638
537.4674,250,114.090638
445.32074,250,115.150964
535.71155,250,115.181167
582.7102,250,115.625777
479.3669,250,117.02088
478.5383,250,117.111515
532.9681,250,117.706663
550.9016,250,118.180726
440.01822,250,118.311659
544.19464,250,118.606609
564.0212,250,118.868659
540.62585,250,118.873165
497.22775,250,118.907548
505.58218,250,118.907548
543.5089,250,120.308476
555.8864,250,120.542264
537.131,250,120.542264
538.1953,250,121.498398
575.1114,250,121.521616
545.9326,250,121.96343
587.04065,250,123.365371
512.8194,250,123.44337
530.7145,250,124.022462
441.77054,250,124.498472
501.58762,250,124.658476
535.12616,250,125.011107
496.21848,250,125.31387
557.84045,250,125.31387
578.71185,250,125.362257
563.7237,250,125.362257
547.5842,250,127.109409
570.5321,250,127.418414
544.4734,250,127.418414
494.9715,250,128.659479
563.3239,250,128.689705
558.20026,250,129.205658
583.89124,250,130.858466
537.98364,250,130.933595
577.26587,250,131.588607
533.37646,250,132.087
577.35425,250,132.220366
474.08325,250,132.562927
511.12003,250,132.833303
562.00037,250,132.833303
571.23645,250,132.858503
580.99084,250,132.858503
554.64026,250,134.298162
472.57565,250,134.530372
502.4841,250,134.530372
464.46146,250,135.498197
564.2632,250,135.529156
560.88184,250,135.962911
545.2561,250,137.350114
523.9702,250,137.432808
490.57605,250,138.033228
582.89105,250,138.562408
540.043,250,138.683244
474.8733,250,138.975448
460.9052,250,139.24585
544.23944,250,139.24585
529.1559,250,139.276793
496.9456,250,139.276793
485.76505,250,140.690233
452.58054,250,140.92843
590.9247,250,140.928475
474.375,250,141.890862
550.3865,250,141.923072
443.8209,250,142.366951
510.60156,250,143.763478
526.03314,250,143.838466
441.68054,250,144.458384
535.45416,250,144.933563
535.6755,250,145.063382
491.40305,250,145.379588
545.66864,250,145.628301
562.77295,250,145.628301
573.7051,250,145.652025
544.01434,250,145.652025
546.02496,250,147.098415
483.38474,250,147.333245
560.176,250,147.333245
455.2098,250,148.278863
577.8633,250,148.31841
518.50824,250,148.763398
483.8296,250,150.128376
556.68134,250,150.203612
555.1692,250,150.857404
565.5482,250,151.448558
579.19073,250,151.578184
546.05524,250,151.934576
490.8732,250,152.17869
499.7794,250,152.17869
471.14334,250,152.208506
481.07922,250,152.208506
582.1466,250,153.630303
433.1691,250,153.862104
511.5234,250,153.862104
483.76712,250,154.838639
417.1016,250,154.862841
548.09796,250,155.305132
453.4166,250,156.697096
449.72375,250,156.773479
418.47253,250,157.375696
494.08853,250,157.873235
464.43015,250,158.010821
564.71405,250,158.298376
489.5818,250,158.558434
534.8596,250,158.558434
564.0059,250,158.590661
570.2402,250,158.590661
579.0747,250,160.038285
555.28973,250,160.268925
607.75867,250,160.268925
457.94928,250,161.248823
486.37244,250,161.27841
594.06213,250,161.721833
585.4537,250,163.118478
568.51587,250,163.198545
450.25726,250,163.810502
461.98962,250,164.288463
540.6211,250,164.418396
478.04443,250,164.743206
496.03165,250,164.998258
541.9471,250,164.998258
453.2093,250,165.028427
572.12634,250,165.028427
437.13763,250,166.450465
592.3191,250,166.678564
465.74426,250,166.678564
